MSU	Symbol	Keyword
LOC_Os01g09100	OsWRKY10	 pi ;  xoo ; Pi; Pi uptake; defense; disease; immune response; phosphate; phosphate transport; pi; resistance; transcription factor; transcriptional activator; transcriptional regulator; transcriptional repressor; transporter
LOC_Os01g09470	GW5L	grain; grain size; grain yield; plasma membrane; resistance; salt; salt stress; stress; stress tolerance; yield
LOC_Os01g09550	ONAC066|OsNAC006|SNAC3	ABA; Gibberellin; JA; SA; abiotic stress; abscisic acid; bacterial blight; biotic stress; blast; blast disease; blight; breeding; disease; disease resistance; drought; drought and oxidative stress; drought stress; drought tolerance; gibberellin; homeostasis; immunity; ja; jasmonic; jasmonic acid; nucleus; oxidative; oxidative stress; pathogen; reactive oxygen species; resistance; sa; salicylic acid; salinity; salinity stress; stress; stress response; stress tolerance; tolerance; transcription activator; transcription factor; water loss
LOC_Os01g09620	OsDOS	ja; jasmonate; leaf; panicle; seed; senescence
LOC_Os01g09640	OsMYB1R1	nucleus
LOC_Os01g09700	OS-ACS5|OsACS5	adventitious root; gibberellin; growth; leaf; meristem; root; seedling; sheath; shoot; stem; submergence; vegetative
LOC_Os01g09720	OsDof1	breeding; cold; cold stress; cold tolerance; stress; tolerance
LOC_Os01g09800	NH1|OsNPR1	bacterial blight; blast; blight; blight disease; defense; defense response; disease; disease resistance; dwarf; ethylene; flower; growth; ja; jasmonic; jasmonic acid; leaf; magnaporthe oryzae; resistant; sa; salicylic acid; stem; transcription factor
LOC_Os01g09850	OsIDD2	lignin; lignin biosynthesis; sucrose
LOC_Os01g09990	DPF	blast; copper
LOC_Os01g10040	CYP90D2|D2|OsD2|SMG11	 BR ; Brassinosteroid; architecture; brassinosteroid; brassinosteroid biosynthesis; breeding; dwarf; germinability; grain; grain size; grain weight; grain yield; insect; lamina; leaf; low-temperature; low-temperature germinability; yield
LOC_Os01g10110	Gn1a|OsCKX2	biomass; biomass production; branching; breeding; cell division; cell wall; cytokinin; drought; grain; grain number; grain size; grain weight; grain yield; growth; inflorescence; meristem; panicle; phytohormone; plant growth; reproductive; salinity; salinity stress; salt; salt tolerance; shoot; spikelet; stem; stress; tiller; tiller number; transcription factor; yield
LOC_Os01g10400	OsMTI-3a	metallolthionein
LOC_Os01g10460	D-h	dwarf; ga; panicle
LOC_Os01g10490	OsGAE1	gibberellin; growth; leaf; meristem; reproductive; root; sheath; shoot; vegetative
LOC_Os01g10504	OSMADS3	development; floral; floral meristem; floral organ; floral organ number; flower; flower development; leaf; male sterility; meristem; ovule; palea; stamen; sterility
LOC_Os01g10600	OsNIP1;2	aluminum; cell wall; cytosol; detoxification; plasma membrane; root; shoot; stress
LOC_Os01g10840	OsGSK1	abiotic stress; brassinosteroid; drought; floral; growth; panicle; salt
LOC_Os01g11040	ES1|OsSCAR1|TUT1	development; early leaf senescence; leaf; leaf senescence; panicle; pollen; senescence; water loss
LOC_Os01g11054	Osppc4	chloroplast; leaf; nitrate; nitrogen; vegetative
LOC_Os01g11220	OsTOD1	growth; pollen
LOC_Os01g11250	OsKAT2	drought; drought tolerance; growth; potassium; salinity; stomatal; tolerance; yield
LOC_Os01g11900	OsROS1|OsROS1a|ROS1a|TA2	anther; anther development; development; dormancy; endosperm; male sterility; map-based cloning; meristem; pollen; seed; starch; sterility; sugar; vegetative
LOC_Os01g11940	OsFTL1	grains per panicle; height; panicle; plant height
LOC_Os01g11952	OsSDG721|SDG721	GA; GA biosynthesis; alkaline stress; branching; development; ga; grain; grain size; grain weight; homeostasis; leaf; leaf angle; methyltransferase; panicle; plant development; plant height; potassium; salt; salt stress; stress; stress tolerance; tolerance; transporter
LOC_Os01g11990	ZYGO1	crossover; meiosis; meiotic; meiotic recombination
LOC_Os01g12070	OsCel9A|OsGLU5	auxin; lateral root; root; root development; seed
LOC_Os01g12160	OsGH3-3|OsGH3.3|OsJAR2	jasmonic; jasmonic acid
LOC_Os01g12210	OsALMT4	biomass; grain; growth; plasma membrane; salicylic acid; xylem
LOC_Os01g12390	OsSRLK	chlorophyll biogenesis; chloroplast; grain; panicle; photosystem; senescence; spikelets per panicle
LOC_Os01g12410	OsESG1	Kinase; auxin; auxin response; crown; crown root; development; drought; root; stress; stress response
LOC_Os01g12490	OsYUC4|OsYUCCA4	auxin
LOC_Os01g12690	OFP1	BR; BR signaling; Gibberellin; Kinase; architecture; cytoplasm; gibberellin; grain; growth; leaf; nucleus; plant architecture; plant growth; plant height; transcription factor
LOC_Os01g12710	NYC1	chloroplast; leaf; senescence
LOC_Os01g12890	CCP1|DFO1|EMF1|OsEMF1	development; floral; floral organ; map-based cloning; palea
LOC_Os01g12900	OsRac1	R protein; bacterial blight; blast; blast disease; blast resistance; blight; breeding; cell cycle; cell death; cell division; defence; defence response; defense; defense response; disease; disease resistance; ethylene; grain; grain size; grain yield; immunity; leaf; magnaporthe oryzae; resistance; resistant; transcriptional activator; yield
LOC_Os01g13030	OsIAA3	auxin; cell elongation; ethylene; growth; iaa; meristem; root; root meristem; root meristem size
LOC_Os01g13540	OsNIN-like3|OsNLP3	grain; grain yield; nitrate; plant growth; transcription factor; yield
LOC_Os01g13950	PHS9	ABA; development; seed; seed development; seed germination
LOC_Os01g14650	OsEXPA8	architecture; cell wall; growth; height; lateral root; leaf; primary root; root; root hair; vascular bundle
LOC_Os01g14920	OsZFP	IAA; development; iaa; lateral root; root; root development
LOC_Os01g14950	OsIMalpha1a|alpha1a	defense response; disease resistance
LOC_Os01g15020	ASPR1|OsTRP1	TPR proteins
LOC_Os01g15270	RAMY	gibberellin; root; transcription factor
LOC_Os01g15340	OsRAA1	adventitious root; architecture; auxin; cell cycle; cell division; flower; growth; lateral root; leaf; meristem; primary root; root; root architecture; root development; seedling; sterile
LOC_Os01g15640	OsNTL3	Heat Stress; R protein; heat tolerance; nucleus; plasma membrane; seedlings; stress; stress tolerance; tolerance; transcription factor
LOC_Os01g15780	OsGT1	glycosyltransferase; grain; growth; mitosis; pollen; reproductive; stress
LOC_Os01g15830	OsPOX1|ddOs319	cold stress; flower; pollen; root; shoot; vegetative
LOC_Os01g15900	RDD1	flower; grain; grain length; grain quality; grain size; grain weight; nitrogen; quality; transcription factor
LOC_Os01g16040	OsPAPST1	chloroplast; mitochondria; root
LOC_Os01g16090	RBP-P	R protein; development; endosperm; fertility; glutelin; grain; growth; plant growth; spikelet; sterility
LOC_Os01g16220	OsSUN2	crossover; homologous recombination; meiosis
