MSU	Symbol	Keyword
LOC_Os02g45054	OsIDD4|SID1	transcription factor
LOC_Os02g45070	OsAGO1a	antiviral immunity
LOC_Os02g45110	OsMTA2	development; growth; methyltransferase; plant growth; pollen; pollen development
LOC_Os02g45160	OsALMT7	development; grain; grain yield; panicle; panicle development; panicle size; spikelet; yield
LOC_Os02g45250	Roc5|oul1	leaf; leaf rolling; transcription factor
LOC_Os02g45450	OsDREB1G	abiotic stress; biotic stress; cold stress; drought; salt; salt tolerance; stress; stress response; stress tolerance; tolerance; transcription factor
LOC_Os02g45520	OsSPX-MFS2	phosphate; pi
LOC_Os02g45660	OsIspF	chloroplast; map-based cloning
LOC_Os02g45770	AFG1|MFO1|OsMADS6	auxin; endosperm; fertility; floral; floral meristem; flower; grain; grain quality; grain size; grain yield; lemma; meristem; palea; quality; spikelet; spikelet meristem; stamen; starch; sugar; transcription factor; transcriptional activator; vegetative; yield
LOC_Os02g45780	DHS	Ubiquitin; drought; drought stress; stress
LOC_Os02g45810	OsTTG1	pericarp; transcription factor
LOC_Os02g45850	RAV6	BR; homeostasis; leaf; seed; seed size
LOC_Os02g46030	CMYB1|LHY-like_chr.2|OsMyb1R	stem; transcription activator
LOC_Os02g46130	YLC3	chloroplast; chloroplast development; cytosol; development; homeostasis; map-based cloning; mitochondria
LOC_Os02g46460	OsNPF7.9	nitrate; nitrate transporter; transporter
LOC_Os02g46940	OsKANADI1|OsKANADI2	meristem; transcription factor
LOC_Os02g47090	OsNPF7.2	grain; grain yield; growth; nitrate; nitrate transporter; tiller; tiller number; transporter
LOC_Os02g47210	OsPUT1	root; seed; transporter
LOC_Os02g47230	OsBRXL1	auxin; brassinosteroid; panicle
LOC_Os02g47280	GL2|GLW2|GS2|LGS1|OsGRF4	Brassinosteroid; brassinosteroid; breeding; cold stress; cold tolerance; cytokinin; development; grain; grain size; grain weight; grain yield; heat tolerance; nitrogen; panicle; seed; seed shattering; seedling; seedlings; shattering; stress; stress response; tolerance; transcription activator; transcription factor; transcriptional regulator; yield
LOC_Os02g47360	OSOTP51	photosystem
LOC_Os02g47470	OsABA8ox1	ABA; ethylene; seedling; shoot; submergence
LOC_Os02g47510	OsCCD4a|OsNCED1	 ABA ; ABA; Heat Stress; defense; flowering; heat stress; heat tolerance; reactive oxygen species; seed; seedling; seedlings; stress; stress tolerance; tolerance
LOC_Os02g47640	OsFBT4	ABA; abiotic stress; biotic stress; plasma membrane; stress
LOC_Os02g47660	OsBLR1|OsbHLH079	BR; BR signaling; Brassinosteroid; brassinosteroid; grain; grain length; leaf; signal transduction; transcription factor
LOC_Os02g47790	OsMDHAR4	heat tolerance; leaf; resistance; stomatal; stress; tolerance
LOC_Os02g47810	OsDOF11	As transport; auxin; crown; crown root; cytokinin; development; flowering; growth; leaf; nitrogen; plant growth; root; root development; root elongation; seedling; seedlings; stress; sucrose; sucrose transport; sucrose transporter; sugar; transcription factor; transporter
LOC_Os02g47970	ADL1|OsDEK1	leaf; leaf development; shoot
LOC_Os02g47980	OsMIZ1	disease; drought; reproductive; salt; salt stress; stress; stress tolerance; tolerance
LOC_Os02g48010	OsNMCP1	drought; drought resistance; drought stress; growth; resistance; root; root growth; stress
LOC_Os02g48290	NTRB	chloroplast; mitochondria; root; seedling; shoot
LOC_Os02g48560	OsFAD2|OsFAD2-1	cold tolerance; grain; grain yield; growth; leaf; reproductive; root; temperature; vegetative; yield
LOC_Os02g48964	SRWD2	cellular activities
LOC_Os02g49230	DTH2|OsCCT08|OsCOL9	SA; blast; blast resistance; breeding; domestication; ethylene; floral; flower; flowering time; grain; grain number; heading date; magnaporthe oryzae; nucleus; panicle; pathogen; phytohormone; reproductive; resistance; sa; salicylic acid; yield
LOC_Os02g49370	LEC1|OsHAP3E|OsLEC1	Gibberellin; abscisic acid; brassinosteroid; development; dwarf; embryo; erect; floral; floral meristem; gibberellin; meristem; photosynthesis; reproductive; seed; seed development; stress; stress response; tolerance; vegetative
LOC_Os02g49410	OsNF-YB1	amylose content; auxin; cell cycle; development; endosperm; endosperm cellularization; endosperm development; grain; grain filling; nucleus; quality; seed size; starch; sucrose transporter; sugar; transcription factor
LOC_Os02g49480	OsbHLH034	JA; bacterial blight; blight; defense; defense response; ja; jasmonate; lignin; lignin biosynthesis; resistance
LOC_Os02g49720	ALDH2a|OsALDH2B5	leaf; mitochondria; panicle; seedling; sheath; submergence
LOC_Os02g49840	OsMADS57	GA; GA deactivation; Gibberellin; auxin; chilling; cold stress; defense; dwarf; ga; gibberellin; growth; height; nitrate; oxidative; panicle; plant height; reactive oxygen species; root; root elongation; salinity; salinity stress; salt; salt stress; salt tolerance; shoot; stem; stress; stress response; strigolactone; tiller; tillering; tolerance; transcription factor; transcriptional regulator; vegetative; xylem; xylem parenchyma
LOC_Os02g49880	Ghd2|OsK	drought; drought resistance; drought stress; drought stress ; flowering; grain number; grain-filling; growth; heading date; leaf; leaf senescence; plant height; resistance; senescence; stress; transcriptional activator; yield
LOC_Os02g50040	OsGH9B1	cellulose
LOC_Os02g50110	OsSYL2	style length
LOC_Os02g50240	GS1|OsGLN1;1|OsGS|OsGS1|OsGS1;1	Al tolerance; abiotic stress; amylose content; biotic stress; cadmium; chloroplast; chloroplast development; development; drought; drought tolerance; grain; grain filling; growth; homeostasis; leaf; nitrogen; oxidative; photosynthesis; root; salinity; salinity stress; seed; seedling; sheath; spikelet; stem; stress; sugar; tolerance; transcription factor
LOC_Os02g50330	OsRDR1	RSV; resistance; rice stripe virus
LOC_Os02g50350	OsDHODH1	drought; drought tolerance; growth; nitrate; root; salt; seedlings; stress; stress response
LOC_Os02g50480	OHK5|OsCKT1|OsHk6	cytokinin; development; grain; photosynthesis; root; root development; shoot; spikelet; starch; sucrose
LOC_Os02g50550	BC3|OsDRP2B	cell wall; cellulose; culm; root
LOC_Os02g50730	OsMMP1	albumin; cellulose; development; plant development; plasma membrane; reproductive; vegetative
LOC_Os02g50799	OsTPR	grain; grain quality; nutritional quality; quality; yield
LOC_Os02g50930	OsBIRF1	ABA; biotic stress; blast; blast disease; defense; defense response; disease; disease resistance; drought; drought tolerance; growth; height; jasmonic; jasmonic acid; oxidative; root; salicylic acid; seed; seed germination; seedling
LOC_Os02g50960	OsPIN1|OsPIN1b|PIN1b|REH1	IAA; adventitious root; architecture; auxin; auxin transport; development; ethylene; growth; height; homeostasis; iaa; inflorescence; leaf; leaf angle; panicle; panicle length; plant height; primary root; root; root number; seedling; shoot; stems; tiller; tiller number; tillering
LOC_Os02g50970	DSM1	drought; drought resistance; oxidative; panicle; salt; seedling
LOC_Os02g51080	LYL1|OsChlP|OsGGR	leaf; oxidative
LOC_Os02g51110	Lsi1|OsLsi1|OsNIP2;1	R protein; arsenite; chilling; crown; dwarf; grain; lateral root; leaf; node; phloem; resistance; root; salt; salt stress; seedlings; shoot; silicon; stress; tolerance; transcription factor; transcriptional regulator; transporter; xylem; xylem parenchyma
LOC_Os02g51180	OsCUL3a|OsSPL88	 xoo ; cell death; disease; disease resistance; growth; immunity; lesion; lesion mimic; magnaporthe oryzae; panicle; reactive oxygen species; resistance
LOC_Os02g51320	OsBUL1|OsbHLH173|PGL2	BR; IAA; architecture; brassinosteroid; cell elongation; grain; grain length; grain size; height; iaa; leaf; leaf angle; lemma; palea; plant architecture; plant height; transcriptional activator
LOC_Os02g51410	OsSK1	panicle
LOC_Os02g51440	OsLAC10	copper; lignin; lignin biosynthesis; stress; tolerance
LOC_Os02g51750	OsANN1	ATPase; abiotic stress; biotic stress; blast; blast disease; calcium; disease; disease resistance; drought; drought stress; growth; jasmonic; jasmonic acid; resistance; stress; stress tolerance; tolerance
LOC_Os02g51810	OM64	insect; insect resistance; jasmonic; jasmonic acid; mitochondria; resistance; resistant; tolerance
LOC_Os02g51860	OsQUA2|OsTSD2	ABA; IAA; cell wall; culm; development; dwarf; grain; grain filling; grain yield; iaa; methyltransferase; root; root development; sucrose; yield
LOC_Os02g51900	UGT85E1	 ABA ; ABA; abscisic acid; drought; drought and oxidative stress; drought stress; drought stress ; glycosyltransferase; oxidative; oxidative stress; reactive oxygen species; stomatal; stress; stress tolerance; sugar; tolerance
LOC_Os02g51950	OsEPFL2	awn; development; domestication; grain; grain size
LOC_Os02g52210	OsATL38|OsRING-1	Ubiquitin; blast; cold; cold stress; drought; ethylene; ja; plasma membrane; root; sheath; stem; stress; stress response; tolerance; transcription regulator
LOC_Os02g52230	OsAFB4	auxin; resistant
LOC_Os02g52250	OsSKIPa	abiotic stress; drought; drought resistance; growth; phytohormone; reproductive; salt; salt stress; seedling
LOC_Os02g52290	OsFKBP12	abiotic stress; biotic stress; stress; stress response
LOC_Os02g52340	OsMADS22	floral; flower; flowering time; leaf; meristem; palea; spikelet; spikelet meristem; stamen; temperature; vegetative
LOC_Os02g52480	KRP1	cell cycle; endosperm; grain; leaf; leaf development; seed; seed development
LOC_Os02g52490	SGL1	grain length; plant height; seed length
LOC_Os02g52550	TGW2	breeding; cell cycle; cell proliferation; grain; grain shape; grain width
LOC_Os02g52710	AmyI-1|RAmy1A	gibberellin; grain; grain filling; leaf; seed; sheath; starch; stem; transcription factor
LOC_Os02g52780	OsbZIP23	 ABA ; ABA; ABA biosynthesis; ER stress; Kinase; abiotic stress; drought; drought resistance; drought stress; drought stress ; drought tolerance; ethylene; leaf; protein kinase; reproductive; resistance; salinity; salinity stress; salt; stress; stress response; sugar; tolerance; transcription factor; yield
LOC_Os02g52940	OsPPa6	alkaline tolerance; breeding; growth; starch; sugar; tolerance
LOC_Os02g53130	OsNIA1|OsNR2|OsNia1	breeding; grain; grain yield; leaf; nitrate; nitrogen; stem; tiller; tiller number; yield
LOC_Os02g53140	COP1|OsCOP1|PPS	development; endosperm; flavonoid; flower; flowering time; ga; growth; inflorescence; leaf; meristem; panicle; pericarp; reproductive; seed; vegetative
LOC_Os02g53160	OsPFA-DSP2	panicle; root; seedling
LOC_Os02g53200	Gns1	blast; blast disease; disease; disease resistance; fertility; growth; root
LOC_Os02g53490	MTP8.2	manganese; transporter
LOC_Os02g53670	CTMyb1|OsTRFL1	development; reproductive; telomere lengthening; telomere repeat-binding factor; vegetative
LOC_Os02g53680	OsRPA1a	growth; meiosis; mitosis; reproductive; sterile; vegetative
LOC_Os02g53690	OsGRF1|rhd1	growth; heading date; transcription factor
LOC_Os02g53720	OsER2	cell proliferation; growth; panicle; panicle size; plant stature
LOC_Os02g54160	OsEREBP1	ABA; Ubiquitin; abiotic stress; abscisic acid; abscisic acid biosynthesis; biotic stress; disease; drought; ethylene; growth; jasmonate; plant growth; salt; stress; stress tolerance; submergence; submergence tolerance; tolerance; transcription factor; xoo
LOC_Os02g54254	OsLKR|SDH	endosperm; grain; seed; transcription factor
LOC_Os02g54520	OsMYB36b	Casparian strip; root endodermis
LOC_Os02g54600	LARGE11|OsMKK4	Kinase; arsenite; biotic stress; brassinosteroid; grain; grain size; growth; root; wounding response
LOC_Os02g55030	OsNUDX2	stress
LOC_Os02g55080	HDR1	Kinase; R protein; floral; floral organ; flowering time; growth
LOC_Os02g55440	OsTMN11	development; grain; grain weight; growth; homeostasis; plant height; seed; seed development; seed length; spikelet; stress
LOC_Os02g55560	OsPP2C27	chilling; cold; cold stress; cold tolerance; growth; phosphatase; stress; tolerance
LOC_Os02g55570	OsSGO1	meiosis; meiotic; mitosis
LOC_Os02g55890	OVP3	salt
LOC_Os02g55910	OsMGD|OsMGD2	anther; cold stress; development; drought; flower; gibberellin; grain; grain quality; growth; leaf; photosynthesis; plant growth; quality; salt; submergence; yield
LOC_Os02g56120	OsIAA9	IAA; R protein; auxin; auxin response; gravitropic response; iaa; lateral root; nucleus; root; starch
LOC_Os02g56130	OsPCNA|PCNA	cell cycle; meiotic; meristem; root; root apical meristem; shoot; shoot apical meristem
LOC_Os02g56140	OsbHLH107	development; grain; grain size; grain yield; transcription factor; yield
LOC_Os02g56460	OsCCR1	defense; defense response
LOC_Os02g56500	OsSEC24	iron; plasma membrane; tolerance
LOC_Os02g56510	OsPHO1;2	development; homeostasis; node; panicle; phloem; phosphate; pi; plasma membrane; reproductive; root; seed; seed development; seed size; shoot; vascular bundle; xylem; xylem parenchyma
LOC_Os02g56540	STD1	ATPase; cell division; development; map-based cloning
LOC_Os02g56610	AFD1|BLS1|BSG1|OsG1L6|TH1	architecture; cell cycle; cell division; development; floral; floral organ; grain; grain size; grain yield; inflorescence; lemma; nucleus; palea; panicle; seed; spikelet; starch; stem; sterile; yield
LOC_Os02g56700	OsCCR10	abiotic stress; abscisic acid; biotic stress; cytoplasm; drought; drought tolerance; grain; grain yield; lignin; lignin biosynthesis; tolerance; vegetative; water loss; yield
LOC_Os02g56850	OsGR2|RGRC2	ABA; chilling; chloroplast; drought; leaf; root; salinity; seedling
LOC_Os02g56920	OsGL1-6	cuticle; drought; drought resistance; leaf; vascular bundle
LOC_Os02g57040	FDH	homeostasis; transporter
LOC_Os02g57180	FLO13|OsNDUFA9	development; endosperm; mitochondria; starch
LOC_Os02g57190	osmyoXIB	anther
LOC_Os02g57240	KOB1	growth; homeostasis; leaf; reproductive; root; sheath
LOC_Os02g57250	OsIAA10	auxin; auxin biosynthesis; defense; defense response; disease; disease development; dwarf; resistance
LOC_Os02g57270	RTBP1	architecture; growth; reproductive; vegetative
LOC_Os02g57280	OsCBSX3	immunity; plasma membrane; resistance
LOC_Os02g57290	CYP97A4	chloroplast; leaf; root; sheath; spikelet
LOC_Os02g57370	OsDHHC1|OsPAT15	R protein; architecture; branching; plant architecture; seed; tillering; yield; zinc
LOC_Os02g57400	OsLpa1	phosphate
LOC_Os02g57490	DH1	culm; floral; leaf; lemma; palea; panicle; root; stamen
LOC_Os02g57520	PTC2	PCD; anther; breeding; cutin; development; pollen; pollen development; pollen wall; reproductive; reproductive development; tapetal
LOC_Os02g57530	ETR3	ethylene
LOC_Os02g57650	OsNAC78|OsNTL6	ER stress; disease; disease resistance; nucleus; resistance; stress; transcription factor
LOC_Os02g57720	OsPIP1;3|RWC3	drought; drought stress; ethylene; growth; plasma membrane; seed; seed germination; stress; xylem
LOC_Os02g58220	OsRPA2|OsRPA32-1	cell cycle
LOC_Os02g58590	GnT1	cell wall; cellulose; cytokinin; reproductive; salt; salt stress; seed; seedling; tiller
LOC_Os02g58730	OsRac5|OsRacD	fertility; growth; panicle; sterile; sterility
LOC_Os03g01020	OsPMEI12	cadmium; cell wall; growth; heavy metal; phytohormone; plant growth; stress
LOC_Os03g01120	OsA8	alkaline stress; biomass; phosphate; phosphorus; root; shoot; transporter
LOC_Os03g01222	HPA1	leaf; leaf senescence; map-based cloning; mitochondria; oxidative; redox homeostasis; senescence
LOC_Os03g01230	SDRP	transcription factor
LOC_Os03g01300	Ltp1	blast; blast disease; disease; leaf; reproductive; stomata; vegetative
LOC_Os03g01320	qLTG3-1	breeding; defense; defense response; homeostasis; seed; seed germination; temperature
LOC_Os03g01590	PAIR1	anther; flower; meiosis; meiotic; sterility; tapetum
LOC_Os03g01650	Orys1	mature anthers; pollen
LOC_Os03g01700	Lsi2|OsLsi2	R protein; arsenite; dwarf; grain; root; salt; salt stress; seedlings; shoot; silicon; stress; transporter; xylem
LOC_Os03g01740	EL2	defense response; non-differentiated calli
LOC_Os03g01750	OsSEX4	bioethanol; bioethanol production; leaf; starch
LOC_Os03g01830	OsBIRH1|TCD33	abiotic stress; biotic stress; blast; chlorophyll content; chloroplast; chloroplast development; cold; cold stress; cold tolerance; development; disease; disease resistance; helicase; jasmonic; jasmonic acid; map-based cloning; oxidative; resistant; salicylic acid; seedling; seedlings; tolerance
LOC_Os03g01840	PACP	meristem; shoot; shoot apical meristem; transcription factor
LOC_Os03g01870	OsNAC055	 ga ; GA; GA biosynthetic; dehydrogenase; ga; lignin; lignin biosynthesis; phytohormone; transcription factor
LOC_Os03g01890	LF1|OSHB1	floral; floral meristem; leaf; lemma; meristem; shoot; shoot apical meristem; spikelet; sterile; vascular bundle; xylem
LOC_Os03g02010	OsDRM2	dwarf; growth; panicle; reproductive; spikelet; sterility; tiller; tiller number; vegetative
LOC_Os03g02050	LTP2|nsLTP2	defense; seed
LOC_Os03g02160	Ehd4	flower; flowering time; heading date
LOC_Os03g02170	OsLDDT1|OsSTS1|STS1	anther; anther development; breeding; development; epidermis; fertility; homeostasis; hydrolase; male sterility; pollen; pollen formation; pollen wall; sterility; tapetum; tapetum degradation
LOC_Os03g02540	OsCSN1	 ga ; GA; development; ga; growth; seedling; seedling growth; seedlings
LOC_Os03g02560	SHPR	Ubiquitin; meristem; nucleus; root; root meristem
LOC_Os03g02590	OsPEX11-1	R protein; salt; salt stress; stress; stress response
LOC_Os03g02650	HYR	HIGHER YIELD RICE; photosynthesis; stress tolerance; tolerance; transcription factor; yield
LOC_Os03g02680	CDKA1|cdc2Os-1	temperature
LOC_Os03g02800	ONAC054|RIM1	ABA; abscisic acid; disease; dwarf; growth; ja; jasmonate; leaf; leaf senescence; root; senescence; transcription factor
LOC_Os03g02970	OsDCL1a	blast; cell death; defence; defence response; defense; defense response; disease; disease resistance; immunity; magnaporthe oryzae; pathogen; resistance; seedling
LOC_Os03g03034	OsF3H03g|OsS5H2	 sa ; SA; flavonoid; resistance; sa
LOC_Os03g03070|LOC_Os03g03100	DTH3|OsMADS50|OsSOC1	floral; flower; flowering time; heading date; vegetative
LOC_Os03g03150	OsCCS52A|TAD|TE	ABA; cell cycle; cell division; cell elongation; endosperm; flower; grain; panicle; seed; seed size; seedling; vegetative
LOC_Os03g03164	KNAT7	cell wall; grain; grain size; growth; lodging; lodging resistance; resistance
LOC_Os03g03260	OsHB22	drought response
LOC_Os03g03290	OsMLD1	ER stress; cell death; disease resistance; glycoprotein; glycoprotein quality control; immunity; malectin; quality
LOC_Os03g03370	DSM2	ABA; chloroplast; drought; drought resistance; oxidative
LOC_Os03g03660	OsCDPK1|OsCDPK11|OsCDPK12|OsCDPK13|OsCPK11	 ga ;  xoo ; cold stress; development; disease; disease resistance; drought; dwarf; endosperm; flower; gibberellin; grain; grain size; grain yield; height; immunity; innate immunity; jasmonic; jasmonic acid; leaf; phosphatase; plant height; resistance; root; salicylic acid; salt; seed; seed development; seedling; sheath; starch; starch biosynthesis; stress; stress response; yield
LOC_Os03g03720	GADPH|OsGAPB	photosynthesis; stress; stress tolerance; tolerance; transcription factor; vegetative
LOC_Os03g03810	OsDEF8	antimicrobial activity
LOC_Os03g03900	OsNLP1	grain; grain yield; nitrate; nucleus; plant growth; yield
LOC_Os03g03910	NOE1|OsCAT3|OsCATC	catalase; cell death; immunity; leaf; nitrate; starch
LOC_Os03g03920	OsDSK2a	GA; Gibberellin; ga; gibberellin; growth; plant growth; salt; salt stress; seedling; stress
LOC_Os03g03990	OscpSRP43|PGL3	chloroplast; growth; leaf; leaf senescence; map-based cloning; reactive oxygen species; senescence
LOC_Os03g04020	EXPLA1	Ubiquitin; nucleus; seed; seed size
LOC_Os03g04050	OsBSK1-1	 BR ; BR; Brassinosteroid; architecture; brassinosteroid; grain; grain length; grain size; plant architecture; plant height; tiller; tiller number
LOC_Os03g04060	OsCHI11|chi11	tolerance
LOC_Os03g04070	ONAC022	abscisic acid; drought; nucleus; salt; salt stress; salt tolerance; stress; stress tolerance; tolerance; transcription factor; transcriptional activator
LOC_Os03g04100	LAZY3	map-based cloning; shoot; tiller; tiller angle
LOC_Os03g04110	CEBiP|OsCEBiP	blast; blight; cell death; cell wall; defense; defense response; disease; disease resistance; immune response; leaf; magnaporthe oryzae; nitrogen; oxidative
LOC_Os03g04120	OsACS	development; ethylene; growth; lateral root; phosphate; root; root development; root elongation; seedlings
LOC_Os03g04310	RAI1	blast; defense; defense response; transcription factor
LOC_Os03g04360	OsPT7|OsPht1;7	 pi ; Pi; anther; anther development; grain; grain yield; growth; phloem; phosphate; phosphate transport; phosphorus; pi; pollen; reproductive; reproductive growth; sheath; transporter; vascular bundle; vegetative; yield
LOC_Os03g04660	CYP96B5|WSL5	leaf
LOC_Os03g04680	BSH1|OsCYP96B4|OsDSS1|SD37	cell elongation; cell wall; development; dwarf; height; map-based cloning; phytohormone; pollen
LOC_Os03g04770	OsBMY4	quality; seed; seed germination; starch; stress; stress tolerance; sugar; tolerance; yield
LOC_Os03g04920	OsMRP5	Pi; phosphorus; pi; seed; seed weight; vegetative; yield
LOC_Os03g04950	OsSDD1	cell division; development; stomata; stomatal; stomatal development
LOC_Os03g05020	LPL2	development; epidermal cell morphogenesis; panicle; plant height; root
LOC_Os03g05040	MEICA1	crossover; meiotic; meiotic recombination
LOC_Os03g05160	OsGATA10	fertility
LOC_Os03g05310	OsPAO	leaf; senescence
LOC_Os03g05334	OsIPS1	lateral root; phosphate; pi; primary root; root; shoot
LOC_Os03g05390	Z3	development; leaf; leaf development; map-based cloning; transporter
LOC_Os03g05500	OsCRL1	callus formation; root; root development
LOC_Os03g05510	ARL1|CRL1	adventitious root; auxin; cell division; crown; crown root; crown root development; cytokinin; defense; development; ethylene; homeostasis; lateral root; meristem; root; root development; seedling; shoot; stem; transcription factor
LOC_Os03g05590	OsAP23	ABA; salt; salt stress; seedling; stress; stress response; transcription factor
LOC_Os03g05620	OsPT1|OsPht1;1	Pi; Pi signaling; phosphate; phosphorus; pi; primary root; root; shoot; transporter
LOC_Os03g05640	OsPT2|OsPht1;2	 pi ; Pi; biomass; breeding; cell wall; grain; growth; homeostasis; lateral root; nitrogen; phosphatase; phosphate; phosphate transport; phosphorus; pi; plant growth; protein phosphatase; root; seedlings; shoot; transcription factor; transporter; yield
LOC_Os03g05680	Se14	floral; flowering time
LOC_Os03g05730	OsCDC48	ATPase; cell cycle; grain; grain yield; leaf; panicle; reactive oxygen species; senescence; tiller; tiller number; yield
LOC_Os03g05806	OsPUS1|TCD3	chloroplast; chloroplast development; development; map-based cloning; temperature
LOC_Os03g06120	OsDMT1|OsMCA1|PAD	GA; GA deactivation; architecture; dwarf; growth; homeostasis; node; plant architecture; plasma membrane; rachillae; root; seed; seedlings; shoot
LOC_Os03g06370	OsNBL3	R protein; development; disease; disease resistance; lesion; lesion mimic; resistance; salt; tolerance
LOC_Os03g06410	OsACDR1|OsEDR1|OsMAPKKK1|SPL3	ABA; Kinase; abscisic acid; cell death; defense; disease; disease resistance; ethylene; growth; ja; jasmonic; jasmonic acid; kinase; leaf; leaf senescence; lesion; map-based cloning; reproductive; resistance; root; sa; salicylic acid; seedling; senescence; temperature; vegetative
LOC_Os03g06610	OsEPFL6	architecture; grain; grain yield; panicle; panicle architecture; spikelet; yield
LOC_Os03g06620	OsARD|OsARD2	abiotic stress; ethylene; phytohormone; root; submergence; transcription factor
LOC_Os03g06630	HTG3|OsHSF7|OsHSFA2d	heat tolerance; stress; temperature; tolerance; transcription factor
LOC_Os03g06654	NAL7|OsCOW1|OsFMO|OsYUC8	auxin; auxin biosynthesis; ethylene; growth; homeostasis; iaa; leaf; root; seedling; shoot; stem
LOC_Os03g06740	OsGR1	chloroplast; root
LOC_Os03g06930	OsBLH6	cell wall
LOC_Os03g06940	OsBGal1	leaf; panicle; root; seedling; sheath; shoot
LOC_Os03g07080	OsCCR4b	cytoplasm
LOC_Os03g07130	OsRMR1	seed
LOC_Os03g07140	DPW	anther; anther development; cuticle; cutin; grain; microspore; pollen; sterile; tapetal
LOC_Os03g07220	FLO10	R protein; development; endosperm; endosperm development; map-based cloning; mitochondria
LOC_Os03g07250	CYP704B2	anther; anther development; cuticle; cutin; grain; microspore; pollen; sterile; tapetal; tapetum
LOC_Os03g07290	OsGERLP	Al tolerance; tolerance
LOC_Os03g07300	RPE	dwarf
LOC_Os03g07360	OsCDF1|OsDof12	BR; BR signaling; Brassinosteroid; architecture; brassinosteroid; breeding; flower; flowering time; leaf; panicle; plant architecture; plant height
LOC_Os03g07370	WSL9	chloroplast; chloroplast development; development; temperature
LOC_Os03g07430	OsRLCK102	BR; BR signaling; Kinase; angle of the lamina joint; architecture; development; immunity; lamina; lamina joint; plant development; plant height; receptor kinase; resistance; seed
LOC_Os03g07480	OsSUT1	development; endosperm; epidermis; grain; grain filling; grain yield; growth; leaf; phloem; photosynthesis; plasma membrane; pollen; primary root; reproductive; root; salt; seed; seedling; sheath; shoot; starch; starch biosynthesis; stem; temperature; transporter; vascular bundle; vegetative; xylem
LOC_Os03g07510	PGL1	grain; grain length; lemma; palea
LOC_Os03g07530	OsFBK12	ethylene; grain; grain number; grain size; leaf; seed; seed size; senescence
LOC_Os03g07920	BG1	auxin; auxin transport; biomass; grain; grain size; seed; seed weight; yield
LOC_Os03g08140	OsTTLL12	growth; phospholipase D activity; plant growth; tubulin; tubulin synthesis
LOC_Os03g08170	GUDK	abscisic acid; biomass; drought; drought stress; ethylene response; grain; grain yield; photosynthesis; reproductive; seedling; seedlings; stress; tolerance; transcription factor; vegetative; yield
LOC_Os03g08220	OsLOX2	JA; disease; ja
LOC_Os03g08310	OsJAZ9|OsTIFY11a	ABA; GA; JA; JA signaling; Ubiquitin; architecture; ga; homeostasis; ja; jasmonate; jasmonic; jasmonic acid; leaf; nitrogen; phytohormone; potassium; root; root growth; root system architecture; salt; salt stress; salt tolerance; stomata; stomatal; stress; stress tolerance; sugar; tolerance; transcription factor
LOC_Os03g08320	OsJAZ11	development; floral; floral organ; jasmonic; jasmonic acid; seed; seed development; seed size; seed weight; spikelet; spikelet development
LOC_Os03g08330	OsJAZ10|OsTIFY11b	defense
LOC_Os03g08360	ONI1	meristem; shoot; shoot apical meristem
LOC_Os03g08460	OsEBP-89|OsEBP89	abiotic stress; adventitious root; biotic stress; drought; drought stress; endosperm; ethylene; flower; growth; intercalary meristem; meristem; nucleus; protein kinase; root; seed; seed germination; seedling; sheath; shoot; signal transduction; stem; stress; stress tolerance; submergence; tolerance; transcription factor
LOC_Os03g08470	OsLG3|OsRAF|OsSTAP1	breeding; development; drought; drought tolerance; ethylene; grain; grain length; grain quality; homeostasis; nucleus; quality; reactive oxygen species; redox homeostasis; root; salt; salt stress; salt tolerance; stress; stress tolerance; tolerance; transcription factor; transcriptional activator; yield
LOC_Os03g08480	OsBP-73	growth; leaf; root; seed
LOC_Os03g08500	OsBIERF4	abiotic stress; blast; disease; disease resistance; drought; ethylene; salicylic acid; salt; seedling
LOC_Os03g08640	OsORC2	inflorescence; meristem; root; seedling; shoot
LOC_Os03g08754	OsMDP1	BR; BR signaling; cell elongation; culm; lamina; leaf; primary root; root; sheath; transcription factor; vegetative
LOC_Os03g08790	OsAP25	cell death; drought; ethylene; flower; grain; grain filling; root; tapetum; transcription factor
LOC_Os03g08850	OsAFB5|OsAFB6	IAA; auxin; cytokinin; development; grain; grain yield; iaa; inflorescence; meristem; spikelets per panicle; temperature; yield
LOC_Os03g08880	OsPUP1	grain; grain number; grain weight; growth; leaf; panicle; panicle length; plant height; plasma membrane
LOC_Os03g08900	OsMATE1	disease; disease resistance; growth
LOC_Os03g08930	OsbHLH044|OsbHLH96	breeding; chalkiness; globulin; grain; grain quality; jasmonate; reactive oxygen species; salinity; salt; salt stress; seed; starch; stress; transcription factor
LOC_Os03g09140	OsRab6a	Fe; Fe accumulation; architecture; cytoplasm; iron; photosynthesis; root; root system architecture; seed; seedling; tolerance; yield
LOC_Os03g09250	OsINO1|OsINO1-1	chloroplast; salt; salt tolerance
LOC_Os03g09910	OsALD1	blast; chloroplast; disease; disease resistance; magnaporthe oryzae; resistance; resistant
LOC_Os03g10210	HOX12|Oshox12	GA; development; dwarf; ga; panicle; transcription factor
LOC_Os03g10340	NAL21	auxin; auxin response; leaf; map-based cloning; resistance
LOC_Os03g10350	OsTPR075	florigen transport
LOC_Os03g10620	D14|D88|HTD2	R protein; architecture; branching; breeding; development; dwarf; grain; grain size; growth; height; leaf; phloem; plant height; resistant; shoot; stem; strigolactone; tiller; tillering; yield
